,S7_4,dia5_3,S6_5,M40t45_2,C30_2,SMM_1,S0_3,GM.60_1,MG.120_3,MG.5_3,dia5_2,GM.0.1_3,GM.0.2_3,G135_1,Heat_1,GM.0.2_2,GM.60_1,M40t45_3,T2.0H_1,Mt0_1_dupl01,S2_1,T.3.40H_1,T3.30H_1,GM.60_3,Heat_1,MG.45_2,MG.10_2,G135_3,T0.30H_1,MG.0.2_3,S3_3,T.0.40H_1,MG.10_3,GM.25_2,Mt0_1_dupl02,GM.15_2,GM.45_2,S0_3,MG.10_1,G150_3,S0_2,S0_1,GM.15_2,S4_1,T.2.40H_1,dia0_3,T.4.40H_1,T.2.40H_1,GM.25_1,GM.90_1,T.3.40H_1,T2.0H_1,Mt0_3_dupl02.1,GM.120_3,GM.25_3,MG.10_3,T4.0H_1,GM.15_3,MG.0.1_2,M0t45_3,MG.60_2,T2.0H_1,T1.0H_1,GM.10_3,S6_6,T.2.40H_1,GM.90_2,Cold_2,GM.15_1,T.0.40H_1,T0.0H_1,S0_1,SMM_1,GM.25_3,GM.15_1,M40t45_2,M40t45_2,MG.t5_2,GM.0.2_2,S0_1,MG.t5_2,GM.5_3,GM.0.1_1,T.5.40H_1,GM.60_1,MG.25_2,dia5_3,GM.45_2,Cold_2,GM.60_2,GM.0.1_1,C30_2,S3_2,S2_1,SMM_1,MG.45_3,M40t45_3,T2.0H_1,S0_1,S1_2,T.1.40H_1,MG.60_3,GM.45_3,Cold_1,S1_3,S2_3,M40t45_3,S7_5,Cold_2,GM.90_3,T.3.40H_1,Cold_2,MG.60_2,M40t45_3,S2_1,Mt0_1_dupl02.1,GM.0.1_1,GM.45_1,Heat_3,Mt0_1_dupl02.1,MG.15_2,GM.15_1,MG.45_2,T3.30H_1,G150_2,T0.30H_1,M0t45_3,dia0_3,G150_1,MG.25_3,T2.0H_1,G135_3,BMM_2,T2.30H_1,MG.120_1,S2_2
BSU08810,10.2265,7.1449,8.9031,7.1724,10.0122,7.1744,7.2964,6.7544,6.8514,7.5814,7.3613,7.3141,6.6955,8.0676,7.3082,7.487,6.7544,6.4348,7.9195,7.1075,7.8752,7.0816,7.7086,7.8588,7.3082,6.883,6.8719,7.4871,7.7474,7.4594,7.0042,6.7062,7.8225,6.9801,7.1075,6.9937,6.3856,7.2964,7.1271,7.9862,6.9187,6.6131,6.9937,7.471,7.0047,6.814,7.2885,7.0047,6.8617,7.1204,7.0816,7.9195,6.4123,8.3406,7.3579,7.8225,7.4686,7.0907,6.7981,6.7791,7.1405,7.9195,7.2413,6.8073,8.6885,7.0047,7.8811,7.3445,6.9827,6.7062,6.8814,6.6131,7.1744,7.3579,6.9827,7.1724,7.1724,6.5674,7.487,6.6131,6.5674,6.9932,7.1938,7.1568,6.7544,6.9555,7.1449,6.3856,7.3445,7.4611,7.1938,10.0122,6.8183,7.8752,7.1744,7.007,6.4348,7.9195,6.6131,7.8498,7.1341,7.3052,7.805,6.9602,10.6031,7.0212,6.4348,10.2793,7.3445,7.7902,7.0816,7.3445,7.1405,6.4348,7.8752,7.1075,7.1938,7.1358,7.517,7.1075,7.5461,6.9827,6.883,7.7086,6.8453,7.7474,6.7791,6.814,7.4797,6.9466,7.9195,7.4871,7.0876,7.6632,7.3511,7.1607
BSU05060,9.2967,9.1123,8.4451,9.0499,9.135,8.8447,8.3882,8.8609,8.7031,8.6603,9.0506,9.0256,8.6795,9.2893,9.4249,8.8537,8.8609,9.2491,8.6431,9.1662,8.7338,8.7622,8.4849,8.5291,9.4249,8.0061,8.4366,8.2185,9.4432,8.717,7.5427,8.54,7.7767,8.7676,9.1662,8.6344,8.0017,8.3882,8.8209,8.8217,8.4388,8.3355,8.6344,8.6629,8.5554,9.0079,8.8889,8.5554,8.8692,8.7619,8.7622,8.6431,9.4983,9.0877,8.5387,7.7767,8.3454,8.8096,7.8022,9.0773,8.6589,8.6431,8.6596,8.0617,8.2786,8.5554,9.1027,9.6554,8.5711,8.54,8.5286,8.3355,8.8447,8.5387,8.5711,9.0499,9.0499,8.2493,8.8537,8.3355,8.2493,8.7882,8.4242,8.9714,8.8609,8.4864,9.1123,8.0017,9.6554,8.3187,8.4242,9.135,8.411,8.7338,8.8447,9.0122,9.2491,8.6431,8.3355,9.2268,8.4927,8.7079,8.5671,9.7638,9.0658,8.2281,9.2491,9.5348,9.6554,8.874,8.7622,9.6554,8.6589,9.2491,8.7338,9.1662,8.4242,8.8997,9.1687,9.1662,9.093,8.5711,8.0061,8.4849,9.4589,9.4432,9.0773,9.0079,8.8821,8.8425,8.6431,8.2185,8.704,8.6233,8.3322,8.3447
BSU29110,12.7495,12.5459,12.8766,14.2282,10.4946,11.5703,12.4533,11.8947,11.7381,11.9096,12.5514,11.8249,11.7442,10.823,12.3468,12.1354,11.8947,12.9526,13.4851,11.7689,12.1553,11.8651,13.8636,10.8261,12.3468,10.9311,12.0557,9.0362,13.8763,12.1714,13.0728,11.526,11.5177,11.9832,11.7689,11.8078,10.8938,12.4533,12.3921,11.3412,11.8755,11.9092,11.8078,14.2989,11.6089,11.8493,11.7146,11.6089,12.3422,11.8538,11.8651,13.4851,12.0739,11.1806,11.2242,11.5177,13.6145,11.5554,11.2738,12.8554,11.3789,13.4851,14.1785,10.547,12.9764,11.6089,11.755,9.5517,11.8474,11.526,12.0907,11.9092,11.5703,11.2242,11.8474,14.2282,14.2282,11.7411,12.1354,11.9092,11.7411,11.7254,11.5686,12.4078,11.8947,11.5086,12.5459,10.8938,9.5517,10.8558,11.5686,10.4946,14.0433,12.1553,11.5703,12.2286,12.9526,13.4851,11.9092,13.3387,11.6985,11.7881,11.0635,10.4584,13.6179,12.1413,12.9526,12.6442,9.5517,11.5253,11.8651,9.5517,11.3789,12.9526,12.1553,11.7689,11.5686,11.9955,11.8792,11.7689,12.7556,11.8474,10.9311,13.8636,11.2902,13.8763,12.8554,11.8493,11.0348,12.0088,13.4851,9.0362,11.6958,14.2331,10.7459,12.2381
BSU18760,10.6051,8.1904,10.7393,7.6318,8.3101,7.8682,7.5322,7.6948,7.7244,8.0486,8.4526,8.0048,7.6666,8.1316,8.7798,8.2998,7.6948,7.7403,7.9972,7.9878,7.9129,7.9486,8.5078,7.8195,8.7798,7.5813,7.634,7.6324,7.5841,7.9456,10.3222,7.5266,7.83,7.7488,7.9878,7.7128,7.1371,7.5322,8.0143,8.1288,7.3318,7.155,7.7128,11.2212,7.8723,7.7136,8.088,7.8723,7.7612,7.9118,7.9486,7.9972,7.7702,8.4798,7.749,7.83,8.655,7.7392,7.1664,7.764,7.7977,7.9972,7.5267,7.2929,10.8249,7.8723,8.3526,7.7155,7.6936,7.5266,7.473,7.155,7.8682,7.749,7.6936,7.6318,7.6318,7.3914,8.2998,7.155,7.3914,7.878,7.6958,8.3186,7.6948,7.7001,8.1904,7.1371,7.7155,7.5883,7.6958,8.3101,9.6435,7.9129,7.8682,8.1297,7.7403,7.9972,7.155,8.0256,7.676,7.9686,8.1756,7.7499,8.1853,7.5625,7.7403,10.4852,7.7155,8.1636,7.9486,7.7155,7.7977,7.7403,7.9129,7.9878,7.6958,8.0091,8.5368,7.9878,8.4942,7.6936,7.5813,8.5078,7.9838,7.5841,7.764,7.7136,7.9747,7.9653,7.9972,7.6324,7.6609,7.9827,7.7237,7.6473
BSU10840,9.9509,9.7245,10.0488,10.288,10.0925,9.9218,10.0091,10.2651,9.72,9.9726,9.7865,10.145,10.2101,10.0175,10.9886,10.3533,10.2651,10.7195,9.4955,10.1707,9.863,10.0658,9.6628,9.5486,10.9886,9.6877,10.2947,8.7811,10.0922,10.2602,10.2476,9.9792,9.9366,10.2108,10.1707,9.9767,9.4158,10.0091,10.5371,10.2292,9.8509,9.7899,9.9767,10.4633,9.9211,10.4893,10.1777,9.9211,10.4142,10.2858,10.0658,9.4955,10.3937,10.1073,9.6937,9.9366,9.4756,10.0102,9.3422,10.601,10.1298,9.4955,9.9707,9.3227,10.2198,9.9211,10.2424,9.4812,10.2026,9.9792,9.9198,9.7899,9.9218,9.6937,10.2026,10.288,10.288,10.0827,10.3533,9.7899,10.0827,10.2888,9.8938,10.3184,10.2651,9.9022,9.7245,9.4158,9.4812,9.6707,9.8938,10.0925,10.4177,9.863,9.9218,10.7077,10.7195,9.4955,9.7899,10.2359,9.8219,10.0267,9.7112,10.2656,10.2595,9.7946,10.7195,9.6681,9.4812,9.681,10.0658,9.4812,10.1298,10.7195,9.863,10.1707,9.8938,10.4357,10.6357,10.1707,10.9143,10.2026,9.6877,9.6628,10.292,10.0922,10.601,10.4893,9.7784,10.3433,9.4955,8.7811,9.8139,9.9226,9.5286,9.7736
BSU15330,13.5465,7.8137,13.8383,7.7092,8.9089,8.6226,7.5826,8.0327,7.6299,7.9351,8.0702,8.1613,7.7608,8.0003,8.224,7.858,8.0327,7.5838,9.9252,7.999,12.1579,9.1231,12.0667,8.1463,8.224,7.5502,7.6964,7.7736,8.3983,7.9929,14.1041,8.012,8.0819,7.7219,7.999,7.8691,7.2888,7.5826,7.7933,7.6949,7.3675,7.2312,7.8691,14.571,8.5303,7.4054,9.5237,8.5303,8.0451,8.3171,9.1231,9.9252,7.619,8.7017,8.0112,8.0819,12.4542,8.0696,7.3988,7.8541,7.787,9.9252,8.3009,7.6217,14.0358,8.5303,8.4738,7.5981,8.2334,8.012,7.918,7.2312,8.6226,8.0112,8.2334,7.7092,7.7092,7.3864,7.858,7.2312,7.3864,8.2889,8.1458,10.0137,8.0327,7.7216,7.8137,7.2888,7.5981,7.6994,8.1458,8.9089,13.5331,12.1579,8.6226,7.7393,7.5838,9.9252,7.2312,7.8668,8.2327,7.8425,8.3528,7.4597,7.7948,12.4322,7.5838,13.4893,7.5981,8.0477,9.1231,7.5981,7.787,7.5838,12.1579,7.999,8.1458,8.2704,8.2669,7.999,7.9961,8.2334,7.5502,12.0667,7.5238,8.3983,7.8541,7.4054,7.6726,7.7301,9.9252,7.7736,7.4775,10.7544,7.9991,12.2143
BSU00370,11.2589,14.6494,11.1864,13.8916,13.4975,13.3333,15.5759,13.9884,12.866,14.7544,15.0455,14.2331,13.9885,13.9581,13.5008,14.3169,13.9884,13.1009,11.1531,14.432,13.1919,13.0688,10.73,12.8806,13.5008,13.8516,14.4516,13.0644,12.6472,14.9967,11.0554,12.3541,13.6141,14.5298,14.432,14.5363,13.0044,15.5759,14.2908,13.2444,15.2006,15.3887,14.5363,12.5007,12.378,13.8149,13.9183,12.378,14.4241,13.5823,13.0688,11.1531,14.4578,12.2157,13.8362,13.6141,10.1372,14.2886,13.6853,13.2336,14.0062,11.1531,10.9624,13.3182,11.3483,12.378,12.5036,12.7009,14.3063,12.3541,12.0179,15.3887,13.3333,13.8362,14.3063,13.8916,13.8916,14.2948,14.3169,15.3887,14.2948,14.2505,14.1334,14.1329,13.9884,14.3301,14.6494,13.0044,12.7009,12.7208,14.1334,13.4975,12.5803,13.1919,13.3333,14.901,13.1009,11.1531,15.3887,15.027,12.227,13.901,13.2286,13.1843,15.0494,12.7281,13.1009,10.9622,12.7009,12.6183,13.0688,12.7009,14.0062,13.1009,13.1919,14.432,14.1334,14.3547,13.2949,14.432,14.6505,14.3063,13.8516,10.73,13.5196,12.6472,13.2336,13.8149,13.1339,15.0933,11.1531,13.0644,13.3409,11.8858,11.7472,12.946
BSU22440,10.8995,12.4408,11.5241,10.2948,12.0451,11.7735,12.2768,12.3703,11.3419,11.7409,12.7585,11.7643,11.6446,13.1549,13.0371,12.1768,12.3703,12.6636,9.2098,13.2786,10.5127,12.0671,10.0305,11.1158,13.0371,11.7137,12.3846,10.9568,9.3122,12.0697,11.7402,11.355,11.5956,11.9333,13.2786,11.7573,11.1017,12.2768,12.7495,13.3317,12.2462,12.1776,11.7573,12.167,11.6553,13.1799,12.3279,11.6553,12.508,12.4886,12.0671,9.2098,13.2166,11.6824,11.2569,11.5956,10.0062,11.6299,11.1885,12.6965,12.0385,9.2098,9.7613,10.8267,11.5101,11.6553,12.1239,10.5543,12.0576,11.355,11.2895,12.1776,11.7735,11.2569,12.0576,10.2948,10.2948,12.1362,12.1768,12.1776,12.1362,11.8449,11.645,12.4354,12.3703,11.9772,12.4408,11.1017,10.5543,11.2131,11.645,12.0451,11.9409,10.5127,11.7735,12.8458,12.6636,9.2098,12.1776,11.3508,11.4466,12.2437,11.2654,11.259,11.612,10.2956,12.6636,10.4934,10.5543,11.8346,12.0671,10.5543,12.0385,12.6636,10.5127,13.2786,11.645,12.3703,12.6794,13.2786,13.0848,12.0576,11.7137,10.0305,13.2688,9.3122,12.6965,13.1799,12.7845,12.4151,9.2098,10.9568,12.182,9.8332,10.9856,10.5973
BSU17080,10.4909,10.7495,10.5434,11.0619,10.1051,10.8775,9.3785,11.1266,10.8779,10.9257,10.7291,11.2213,11.0309,10.0259,11.2937,11.2656,11.1266,11.3657,10.5601,10.2121,10.9128,11.2224,11.2734,10.4404,11.2937,10.3915,10.913,8.7631,11.4048,11.1901,10.0626,11.3192,10.3789,11.1086,10.2121,10.9794,10.2083,9.3785,11.419,9.8992,9.2577,9.2332,10.9794,11.5817,10.8997,10.4179,11.0996,10.8997,11.3704,11.2387,11.2224,10.5601,10.5095,10.9371,10.8373,10.3789,11.3764,10.8445,10.1489,11.1153,10.7237,10.5601,10.8409,9.9384,10.5744,10.8997,11.2835,10.1196,10.9638,11.3192,11.0908,9.2332,10.8775,10.8373,10.9638,11.0619,11.0619,10.6291,11.2656,9.2332,10.6291,11.1848,10.5921,11.4682,11.1266,10.6698,10.7495,10.2083,10.1196,10.3139,10.5921,10.1051,11.2054,10.9128,10.8775,11.2023,11.3657,10.5601,9.2332,10.8644,11.016,10.88,10.5535,10.4112,10.7845,10.8811,11.3657,10.3724,10.1196,10.7769,11.2224,10.1196,10.7237,11.3657,10.9128,10.2121,10.5921,11.308,10.7752,10.2121,11.7317,10.9638,10.3915,11.2734,10.7634,11.4048,11.1153,10.4179,9.9141,11.1874,10.5601,8.7631,10.0886,11.4339,10.5467,10.8432
BSU32560,9.6749,10.9155,9.5337,10.913,9.3243,11.6611,9.6762,11.2076,9.8849,10.3989,11.1222,11.0208,10.6293,9.8785,10.9544,10.9002,11.2076,10.7549,9.057,10.1164,9.464,11.4983,9.9255,10.7657,10.9544,10.0802,10.9315,8.5437,8.8814,10.0968,9.084,11.3761,10.2896,11.873,10.1164,10.9421,10.7938,9.6762,11.5701,10.029,9.6926,9.657,10.9421,10.168,11.286,10.3205,11.4422,11.286,11.8214,11.3688,11.4983,9.057,10.2164,11.3765,11.066,10.2896,9.8036,11.3342,9.3597,10.6032,10.4874,9.057,8.6015,10.6301,9.631,11.286,11.9664,12.354,11.2548,11.3761,11.0235,9.657,11.6611,11.066,11.2548,10.913,10.913,10.3944,10.9002,9.657,10.3944,11.1676,10.7786,10.8086,11.2076,10.5634,10.9155,10.7938,12.354,10.5497,10.7786,9.3243,9.7261,9.464,11.6611,11.0693,10.7549,9.057,9.657,10.378,11.3604,10.8384,11.218,12.861,10.1229,9.103,10.7549,9.5532,12.354,11.1479,11.4983,12.354,10.4874,10.7549,9.464,10.1164,10.7786,11.577,10.4631,10.1164,11.5926,11.2548,10.0802,9.9255,10.1258,8.8814,10.6032,10.3205,9.6647,10.8449,9.057,8.5437,10.7617,9.6111,10.0122,9.2263
BSU11500,14.6759,14.7243,14.6885,16.3006,13.4533,14.25,14.4254,14.2286,13.685,14.4917,14.962,14.2449,14.3259,13.7276,15.5684,14.4105,14.2286,15.6847,13.8701,15.0916,14.663,14.4474,14.6551,13.3376,15.5684,13.4378,14.2,12.3397,15.5157,14.4239,14.138,14.9264,13.4479,14.414,15.0916,14.3677,13.3578,14.4254,14.5575,13.1911,14.2439,14.5469,14.3677,14.4568,14.3335,14.7949,14.3493,14.3335,14.5157,13.9586,14.4474,13.8701,14.3244,13.4719,13.6364,13.4479,14.6958,14.0541,13.0296,15.837,14.0038,13.8701,14.4999,13.3503,14.6545,14.3335,14.0848,14.8987,14.0653,14.9264,14.9099,14.5469,14.25,13.6364,14.0653,16.3006,16.3006,14.0558,14.4105,14.5469,14.0558,14.5832,13.8589,14.19,14.2286,13.9053,14.7243,13.3578,14.8987,13.4564,13.8589,13.4533,13.5981,14.663,14.25,14.733,15.6847,13.8701,14.5469,14.4222,14.6556,14.054,13.8703,14.4716,14.3618,14.8721,15.6847,14.5549,14.8987,13.7014,14.4474,14.8987,14.0038,15.6847,14.663,15.0916,13.8589,14.3504,15.2238,15.0916,14.9644,14.0653,13.4378,14.6551,13.8588,15.5157,15.837,14.7949,13.1369,14.6653,13.8701,12.3397,13.5661,14.6112,13.346,14.4541
BSU30150,9.2269,7.6162,9.246,8.9398,8.2656,7.5378,8.2826,6.9679,7.2844,7.4464,8.0061,7.6526,7.0397,7.2566,7.5009,7.7077,6.9679,6.9067,9.7944,7.2786,9.9212,7.8116,10.012,7.6516,7.5009,7.1115,6.7903,7.4,9.8071,7.457,9.403,7.4285,7.6899,7.234,7.2786,7.1624,6.6338,8.2826,7.0567,7.5435,8.133,7.9902,7.1624,9.6166,7.8223,7.202,7.8281,7.8223,7.0803,7.418,7.8116,9.7944,7.3667,8.2759,7.461,7.6899,9.7821,7.2201,6.8857,7.0989,7.1578,9.7944,9.2415,7.0266,9.201,7.8223,7.8799,7.2807,7.1308,7.4285,8.4,7.9902,7.5378,7.461,7.1308,8.9398,8.9398,6.5368,7.7077,7.9902,6.5368,7.3094,7.3728,7.895,6.9679,7.0143,7.6162,6.6338,7.2807,7.421,7.3728,8.2656,9.6948,9.9212,7.5378,7.0633,6.9067,9.7944,7.9902,9.8886,7.7853,7.3625,7.8291,7.1028,10.074,9.818,6.9067,9.3043,7.2807,7.7725,7.8116,7.2807,7.1578,6.9067,9.9212,7.2786,7.3728,7.2017,7.517,7.2786,7.6373,7.1308,7.1115,10.012,6.962,9.8071,7.0989,7.202,7.4521,6.9542,9.7944,7.4,6.9829,10.3171,7.7008,9.891
BSU05270,9.7357,11.7484,9.1752,10.7026,9.7469,9.8123,9.624,10.0415,9.9891,9.8785,11.8187,10.2306,10.0186,9.408,11.3557,10.4165,10.0415,10.3517,9.4343,9.8157,10.2023,10.3247,10.3701,9.4113,11.3557,9.5154,9.8825,8.402,9.6562,10.1912,9.1987,10.0966,9.7079,10.1852,9.8157,9.8602,9.1093,9.624,10.1733,9.741,9.4594,9.3237,9.8602,9.6639,10.0447,9.9169,10.187,10.0447,10.3037,10.0572,10.3247,9.4343,9.6462,9.9899,9.618,9.7079,10.3631,9.7336,9.1054,10.2912,9.9556,9.4343,9.0517,9.1467,9.2431,10.0447,10.1185,9.1685,9.9497,10.0966,9.9067,9.3237,9.8123,9.618,9.9497,10.7026,10.7026,9.6713,10.4165,9.3237,9.6713,10.1262,9.7815,10.5392,10.0415,9.4866,11.7484,9.1093,9.1685,9.5704,9.7815,9.7469,9.6805,10.2023,9.8123,10.5046,10.3517,9.4343,9.3237,10.298,10.0347,9.8603,9.2146,9.4218,10.4695,9.7992,10.3517,9.7314,9.1685,9.7367,10.3247,9.1685,9.9556,10.3517,10.2023,9.8157,9.7815,10.0429,10.937,9.8157,10.6417,9.9497,9.5154,10.3701,9.7496,9.6562,10.2912,9.9169,9.4265,10.281,9.4343,8.402,9.5254,10.229,9.5153,10.0966
BSU35200,8.9852,9.2694,8.7886,8.8923,9.5163,9.1074,8.9023,9.1215,8.9066,8.6278,9.3428,8.7963,8.5214,9.5627,9.8436,8.9571,9.1215,9.6375,9.1565,9.5205,8.4939,9.764,9.2955,8.6543,9.8436,8.3596,8.8353,8.3761,9.8135,8.9775,9.0402,10.3089,8.5962,8.7756,9.5205,8.6798,7.9898,8.9023,9.128,9.655,8.8859,8.7738,8.6798,9.2836,9.7495,9.827,9.7655,9.7495,9.184,9.3375,9.764,9.1565,9.8475,9.5303,8.7452,8.5962,9.1769,8.769,7.9953,9.3959,8.8335,9.1565,9.5108,8.2305,8.7894,9.7495,9.3152,8.8321,8.959,10.3089,10.1818,8.7738,9.1074,8.7452,8.959,8.8923,8.8923,8.5336,8.9571,8.7738,8.5336,8.8532,8.7534,9.8356,9.1215,8.5348,9.2694,7.9898,8.8321,8.4289,8.7534,9.5163,8.8074,8.4939,9.1074,9.2955,9.6375,9.1565,8.7738,8.5301,9.9053,8.7736,8.7207,9.306,8.5444,8.1021,9.6375,8.8414,8.8321,9.1202,9.764,8.8321,8.8335,9.6375,8.4939,9.5205,8.7534,9.1401,9.4324,9.5205,9.4614,8.959,8.3596,9.2955,9.7603,9.8135,9.3959,9.827,9.3645,9.0619,9.1565,8.3761,8.9427,9.2793,8.5503,8.3819
BSU09560,12.8244,14.9592,12.9308,13.0792,12.7324,13.7046,12.3259,13.968,13.6604,13.4708,14.9024,13.8313,13.893,13.2828,14.7881,14.1511,13.968,13.5177,12.7849,13.1034,13.727,14.0288,13.7386,12.7955,14.7881,13.1681,13.8758,11.2068,12.4644,13.5173,12.7012,13.7992,13.0008,13.8328,13.1034,13.5937,13.0592,12.3259,14.1953,13.6821,12.3115,12.2295,13.5937,13.7265,13.908,13.495,14.0324,13.908,14.1207,13.8908,14.0288,12.7849,13.4383,13.4664,13.243,13.0008,13.7687,13.6315,12.8651,13.2601,13.6757,12.7849,12.632,12.9986,13.0864,13.908,13.9167,11.3476,13.9359,13.7992,13.5877,12.2295,13.7046,13.243,13.9359,13.0792,13.0792,13.6712,14.1511,12.2295,13.6712,14.0866,13.7912,14.3479,13.968,13.5169,14.9592,13.0592,11.3476,12.8884,13.7912,12.7324,13.6344,13.727,13.7046,14.2587,13.5177,12.7849,12.2295,13.5385,13.773,13.7956,12.8006,11.9431,13.9138,13.1601,13.5177,12.3985,11.3476,13.5198,14.0288,11.3476,13.6757,13.5177,13.727,13.1034,13.7912,14.0282,14.2823,13.1034,14.4747,13.9359,13.1681,13.7386,13.3068,12.4644,13.2601,13.495,12.955,13.9153,12.7849,11.2068,13.672,13.7176,13.0129,13.4695
BSU38450,10.9482,8.9618,11.3958,9.6476,10.591,10.3983,9.0691,10.6799,10.3539,10.4948,8.8693,10.8469,10.8234,10.17,11.4833,11.1681,10.6799,10.6208,11.5315,9.3879,10.9551,11.1133,12.2214,9.8973,11.4833,10.2444,10.4975,8.9878,11.3595,10.4104,10.7538,12.5661,10.3116,10.4697,9.3879,10.3645,9.9419,9.0691,10.9572,10.0828,9.1011,9.5841,10.3645,11.5034,10.9732,9.6858,11.2586,10.9732,10.8369,10.6659,11.1133,11.5315,9.9123,10.3856,9.9682,10.3116,12.3258,10.3941,9.803,10.1655,10.4283,11.5315,10.6569,9.6359,11.5792,10.9732,10.6701,9.4991,10.5043,12.5661,11.7715,9.5841,10.3983,9.9682,10.5043,9.6476,9.6476,10.562,11.1681,9.5841,10.562,10.8372,10.5569,11.3848,10.6799,10.4228,8.9618,9.9419,9.4991,9.8855,10.5569,10.591,11.1552,10.9551,10.3983,11.1594,10.6208,11.5315,9.5841,11.3502,11.7948,10.6648,10.2522,9.6684,11.1997,10.6794,10.6208,10.6855,9.4991,10.4836,11.1133,9.4991,10.4283,10.6208,10.9551,9.3879,10.5569,10.8595,11.0239,9.3879,11.258,10.5043,10.2444,12.2214,10.4162,11.3595,10.1655,9.6858,9.9011,10.6999,11.5315,8.9878,10.1196,12.5377,10.2939,10.6832
BSU08250,8.4043,7.9411,7.9894,8.9997,8.6619,8.2604,8.3048,8.361,8.4222,8.6207,8.1553,8.6733,8.4286,7.6836,9.0197,8.6353,8.361,8.3512,8.3424,8.0386,8.9102,8.4679,8.5073,8.1191,9.0197,7.9846,8.4448,7.5056,7.762,8.7482,8.3651,7.9036,8.3542,8.3914,8.0386,8.2871,7.6103,8.3048,8.6104,8.0127,8.0582,8.165,8.2871,8.8002,8.2636,7.9388,8.473,8.2636,8.5629,8.4135,8.4679,8.3424,8.0724,8.7481,8.1463,8.3542,8.4033,8.2547,8.0408,8.2055,8.3058,8.3424,7.7886,7.6704,7.789,8.2636,8.7337,7.9884,8.3103,7.9036,7.8919,8.165,8.2604,8.1463,8.3103,8.9997,8.9997,8.3084,8.6353,8.165,8.3084,8.5289,8.3118,8.746,8.361,8.0459,7.9411,7.6103,7.9884,8.0375,8.3118,8.6619,8.6592,8.9102,8.2604,8.8781,8.3512,8.3424,8.165,9.1576,8.1108,8.7397,8.3498,8.1879,9.1505,8.5139,8.3512,8.35,7.9884,8.1941,8.4679,7.9884,8.3058,8.3512,8.9102,8.0386,8.3118,8.4186,8.7245,8.0386,8.8385,8.3103,7.9846,8.5073,7.871,7.762,8.2055,7.9388,7.7626,8.4474,8.3424,7.5056,8.2767,8.631,8.3897,8.6933
BSU34180,11.4673,11.3334,11.2586,12.1418,11.1956,11.0839,11.7687,11.6774,11.0874,11.6408,11.3859,11.471,11.4317,10.6132,11.7677,11.4249,11.6774,12.4202,10.7143,11.1999,12.0739,11.2263,11.4254,10.752,11.7677,11.0461,11.6169,9.227,10.7129,11.844,10.5192,11.0952,11.4907,11.7189,11.1999,11.6002,11.1059,11.7687,11.8837,10.814,11.0568,11.3085,11.6002,11.3196,11.0202,11.4597,11.4164,11.0202,11.9592,11.5561,11.2263,10.7143,11.3851,11.3226,11.1084,11.4907,11.3987,11.3239,11.1536,12.0642,11.6932,10.7143,10.658,10.5941,11.5839,11.0202,11.8444,11.0658,11.5837,11.0952,10.9039,11.3085,11.0839,11.1084,11.5837,12.1418,12.1418,11.626,11.4249,11.3085,11.626,11.8525,11.2649,11.3015,11.6774,11.2775,11.3334,11.1059,11.0658,10.9551,11.2649,11.1956,11.1509,12.0739,11.0839,12.322,12.4202,10.7143,11.3085,11.6898,11.0061,11.8855,11.3559,11.6497,11.6765,12.4131,12.4202,11.1228,11.0658,10.8516,11.2263,11.0658,11.6932,12.4202,12.0739,11.1999,11.2649,11.8018,11.2797,11.1999,11.9235,11.5837,11.0461,11.4254,10.7916,10.7129,12.0642,11.4597,10.4986,11.9176,10.7143,9.227,10.9322,11.5721,10.9895,11.763
BSU25100,11.0742,11.6211,10.4851,12.6806,11.6015,11.047,11.6014,11.4645,11.1886,11.199,11.64,11.3464,11.2139,12.3282,11.9197,11.9215,11.4645,12.3107,10.0583,12.0711,11.3681,11.3626,11.0194,10.638,11.9197,10.7209,11.1778,10.9012,10.4612,11.4535,10.1892,11.1255,10.8645,11.4223,12.0711,11.0477,10.8481,11.6014,11.7137,12.0358,11.8642,11.6664,11.0477,11.155,10.9721,12.2158,11.5117,10.9721,11.5693,11.3575,11.3626,10.0583,12.3678,11.1966,10.7271,10.8645,11.2045,11.0267,10.4998,12.3052,11.1751,10.0583,10.2533,10.2647,10.6857,10.9721,11.4198,12.3164,11.0545,11.1255,10.663,11.6664,11.047,10.7271,11.0545,12.6806,12.6806,11.092,11.9215,11.6664,11.092,11.2208,10.9539,11.5496,11.4645,11.0663,11.6211,10.8481,12.3164,10.7265,10.9539,11.6015,11.0814,11.3681,11.047,11.7906,12.3107,10.0583,11.6664,12.4116,10.9055,11.1234,11.0586,12.454,12.0566,11.013,12.3107,10.8642,12.3164,11.5095,11.3626,12.3164,11.1751,12.3107,11.3681,12.0711,10.9539,11.5897,11.4433,12.0711,12.2528,11.0545,10.7209,11.0194,12.5518,10.4612,12.3052,12.2158,11.9893,11.6587,10.0583,10.9012,11.1185,10.8254,10.6983,11.2168
