"S0_1"	"S1_1"	"S2_1"	"S3_1"	"S4_1"	"S5_1"	"S0_2"	"S1_2"	"S2_2"	"S3_2"	"S4_2"	"S5_2"	"S0_3"	"S1_3"	"S2_3"	"S3_3"	"S4_3"	"S5_3"	"S6_4"	"S7_4"	"S6_5"	"S7_5"	"S6_6"	"G135_1"	"G150_1"	"G150_2"	"G135_3"	"G150_3"	"C30_1"	"C30_2"	"T.5.40H_1"	"T.4.40H_1"	"T.3.40H_1"	"T.2.40H_1"	"T.1.40H_1"	"T.1.10H_1"	"T.0.40H_1"	"T0.0H_1"	"T0.30H_1"	"T1.0H_1"	"T1.30H_1"	"T2.0H_1"	"T2.30H_1"	"T3.0H_1"	"T3.30H_1"	"T4.0H_1"	"BMM_1"	"Heat_1"	"Cold_1"	"BMM_2"	"Heat_2"	"Cold_2"	"BMM_3"	"Heat_3"	"Cold_3"	"SMM_1"	"SMM_2"	"SMM_3"	"Mt0_1_dupl01"	"Mt0_1_dupl02"	"M0t45_1"	"Mt0_2_dupl01"	"Mt0_2_dupl02"	"M0t45_2"	"Mt0_3_dupl01"	"Mt0_3_dupl02"	"M0t45_3"	"M40t45_1"	"M40t45_2"	"M40t45_3"	"dia0_1"	"dia5_1"	"dia0_2"	"dia5_2"	"dia0_3"	"dia5_3"	"GM.0.2_1"	"GM.0.1_1"	"GM.5_1"	"GM.15_1"	"GM.25_1"	"GM.45_1"	"GM.60_1"	"GM.90_1"	"GM.120_1"	"GM.0.2_2"	"GM.0.1_2"	"GM.5_2"	"GM.10_2"	"GM.15_2"	"GM.25_2"	"GM.45_2"	"GM.60_2"	"GM.90_2"	"GM.0.2_3"	"GM.0.1_3"	"GM.5_3"	"GM.10_3"	"GM.15_3"	"GM.25_3"	"GM.45_3"	"GM.60_3"	"GM.90_3"	"GM.120_3"	"MG.0.1_1"	"MG.5_1"	"MG.10_1"	"MG.15_1"	"MG.25_1"	"MG.45_1"	"MG.120_1"	"MG.0.1_2"	"MG.0.2_2"	"MG.t5_2"	"MG.10_2"	"MG.15_2"	"MG.25_2"	"MG.45_2"	"MG.60_2"	"MG.90_2"	"MG.0.1_3"	"MG.0.2_3"	"MG.5_3"	"MG.10_3"	"MG.15_3"	"MG.25_3"	"MG.45_3"	"MG.60_3"	"MG.90_3"	"MG.120_3"
"BSU09420"	11.6184	13.5605	12.8803	12.9208	12.4733	11.6496	11.3716	13.5738	13.013	12.7908	11.5293	11.769	11.4001	13.6959	12.5263	10.899	11.6984	12.0294	10.4215	11.734	10.8495	10.904	10.7614	13.9877	13.7969	13.83	12.2617	14.0199	13.9266	14.0724	14.1643	14.218	13.5769	13.621	13.6525	13.8733	13.7333	13.4667	12.4241	14.2962	13.7812	13.0067	13.3553	12.6739	12.7076	12.2859	12.4187	11.3452	13.7202	12.0807	10.6747	13.2032	12.1565	10.6724	12.8534	13.4914	13.4504	13.4216	14.0137	14.0137	12.5624	11.9964	11.9964	12.5933	14.4365	14.4365	13.0767	12.1302	12.9016	13.2866	13.4208	11.084	14.1033	11.0977	13.8575	11.0132	13.9241	14.3192	14.2174	14.294	14.7794	14.2401	13.8195	14.0337	12.6061	15.013	14.9765	14.9475	14.7176	14.7047	14.8546	13.4508	13.1989	13.8529	14.609	14.7578	14.885	13.8217	14.6636	14.2929	13.7073	13.2718	13.1837	13.1343	14.9562	15.3788	15.6051	14.9641	15.1862	14.9227	12.4833	14.2948	15.0773	15.1555	15.3459	16.0489	14.8491	14.3435	14.5705	13.7513	15.9284	15.6047	15.4182	14.6167	15.9503	15.7019	15.775	15.2617	14.6417	13.0061
"BSU09440"	9.5642	10.6475	9.554	9.9114	9.9541	9.5867	9.8506	10.505	9.6201	10.1207	9.5352	9.7141	9.92	10.7477	9.6069	10.1046	9.4682	9.7995	8.7533	9.1982	9.1193	9.143	9.1694	9.3467	9.5164	9.8955	8.2229	9.9697	9.1504	9.2925	10.0033	9.8193	9.7115	9.6515	9.8305	10.0029	9.8332	9.643	9.2741	9.023	9.1771	9.2647	9.8092	9.2647	9.6266	9.5455	9.9487	10.5975	10.0332	9.6527	10.5442	9.2514	9.4579	10.0419	9.0362	9.5168	9.4006	9.5067	9.6148	9.6148	9.6633	9.3123	9.3123	9.6879	10.1496	10.1496	9.9495	9.5175	10.0209	10.0419	9.7493	9.7988	9.7922	9.4349	10.0506	9.2885	9.5949	9.6427	9.4395	9.6248	9.6149	9.9046	9.7565	9.9316	9.4738	10.1657	9.8729	9.6259	9.3699	9.2361	9.1701	8.6455	9.0408	9.7328	9.4075	9.4925	9.6179	8.5305	9.218	8.8926	9.2244	9.0883	9.4265	9.413	10.2415	9.9971	10.0533	9.1358	9.6506	9.8152	9.5417	9.4822	9.8387	9.7339	9.746	10.2592	9.5007	9.2518	9.8788	9.449	10.7626	10.1859	9.6316	9.7653	9.9424	9.8677	10.4873	9.9838	10.2121	9.8944
"BSU09450"	9.5944	10.2664	9.2392	9.6127	9.4144	9.186	9.6909	10.3495	9.1918	9.605	9.2063	9.2428	10.0439	10.2765	9.3513	9.3622	8.9915	9.3222	8.3395	8.8185	8.9223	8.8404	8.7549	9.2444	9.2855	9.5732	8.3548	9.5226	8.9485	9.2072	9.3807	9.4408	9.4021	9.2718	9.3426	9.4707	9.3121	9.2719	9.2042	8.6875	8.6647	8.7548	9.1589	8.5343	8.9064	8.9108	9.5313	13.0067	9.6483	9.3571	12.9306	8.9244	10.4337	12.6085	8.7588	9.2976	9.2079	9.1905	9.4729	9.4729	9.5773	8.8841	8.8841	9.3979	9.9175	9.9175	9.7723	9.2285	9.6788	9.6423	9.5093	9.5456	9.3926	9.2083	9.6564	9.0164	9.5024	9.6372	9.1801	9.6517	9.3414	9.6781	9.5278	9.7612	9.2869	9.4509	9.6395	9.7391	9.425	9.2716	9.0985	8.5958	9.0945	9.4435	9.2546	9.3867	9.7014	8.5872	9.2974	8.8948	9.2006	8.8708	8.8818	9.2126	10.191	10.0768	9.9686	9.0228	9.4469	9.4163	9.1048	9.2779	9.7279	9.7865	9.8718	9.917	9.6352	9.2907	9.494	9.2667	10.3026	9.8496	9.3915	9.7112	9.7536	9.446	10.0252	9.6776	9.5733	9.2531
"BSU09460"	10.2876	13.4099	10.1976	13.5941	13.3373	13.6957	8.3047	13.1863	10.7648	13.2084	13.2181	13.7437	8.3623	13.275	9.9929	12.7468	12.9393	13.9419	12.2044	12.751	12.7468	12.324	13.0994	7.111	7.1069	6.7313	7.3864	7.1574	9.738	10.1797	12.4748	12.2056	12.1041	11.8111	12.1579	12.6709	12.7089	12.3226	11.8966	11.9677	12.0921	12.0735	12.8836	11.8957	11.7467	11.616	11.9215	10.5136	10.2262	11.8903	10.7752	9.6942	11.2615	10.2576	9.4267	11.9096	11.8412	12.0324	7.1174	7.1174	7.2325	7.6517	7.6517	7.9932	6.4958	6.4958	6.8488	7.4838	7.8061	6.7612	6.9289	7.1896	7.0294	7.3142	6.6724	6.675	12.2419	12.5669	11.7577	11.7239	11.4242	12.0196	12.0217	11.806	10.4777	12.3112	13.5436	12.5849	11.8732	11.0944	10.9019	10.8503	10.9397	11.5223	12.874	12.9883	12.4635	10.8687	11.3321	10.6979	10.5028	10.6911	10.5238	11.0804	11.9886	11.9479	11.6488	10.4402	11.7496	11.9578	11.7047	10.9159	11.79	11.5722	11.3544	11.0791	11.373	11.3596	11.7056	11.616	12.1592	11.295	11.2319	10.1034	10.8843	11.599	12.2705	11.4612	12.1193	12.2042
"BSU09470"	10.4722	10.2206	8.9521	9.1534	9.0828	8.6259	10.5737	10.0343	8.9224	9.2254	8.6355	8.4474	10.0648	10.3526	8.2629	7.9308	8.2592	8.8444	8.004	8.7433	8.3968	8.6732	8.239	11.112	10.9546	11.3732	9.6805	10.9897	10.3557	10.7449	10.8678	10.7779	10.5537	10.1424	10.1296	10.1673	10.0698	9.8276	9.4583	9.2195	9.083	9.0813	9.3079	8.6834	9.022	8.7815	10.9789	10.2169	12.3338	10.79	9.9188	11.1151	10.4185	9.5466	10.4416	10.4346	10.3042	10.6454	10.6659	10.6659	9.6361	8.1495	8.1495	11.1612	11.4104	11.4104	10.3851	9.4906	8.7559	10.7791	11.1825	9.8031	11.1949	10.0374	11.1833	10.3458	10.0914	10.1784	9.8222	10.5539	10.7294	10.6565	10.643	10.7398	9.8697	9.9049	10.6027	10.4547	10.3639	10.1431	10.5404	9.5636	9.5301	10.4196	10.1578	10.449	10.228	9.3828	10.0341	9.697	9.7782	9.5387	9.3779	9.9401	10.2416	10.276	10.8338	9.8865	10.2337	10.3271	9.0853	9.4458	10.0275	9.831	10.2974	10.337	10.0925	9.8426	10.0627	9.8686	10.7656	9.7717	9.6192	9.5197	10.6358	10.4969	10.9502	10.3614	10.6139	9.6892
"BSU09490"	10.3663	10.964	10.6356	11.4684	11.9929	11.7321	10.2369	10.8694	10.9889	11.8379	11.642	11.631	10.3256	10.8277	10.4818	11.4538	11.6335	11.9983	10.6423	10.9556	11.2253	10.613	11.3644	8.0099	8.0965	7.9708	7.6945	8.4565	9.9407	10.1029	10.8894	10.5734	10.4591	9.9124	9.8383	9.8478	9.7124	9.7102	10.4626	10.0774	9.9527	10.0487	10.813	10.5247	10.9123	11.0438	9.8234	9.5501	9.9525	9.669	9.1615	9.5074	9.58	9.1574	8.8257	10.1185	10.0913	10.3134	9.4106	9.4106	9.4588	9.1428	9.1428	10.1426	9.3283	9.3283	9.7566	9.3589	10.421	9.9088	9.0775	9.5343	9.5017	9.3149	9.6344	9.2392	9.8757	10.0186	9.8761	10.1026	10.3011	10.1967	10.2536	10.1218	9.505	9.9931	10.3159	9.9205	9.8431	9.9799	10.0571	8.7031	9.3306	10.1592	10.2024	10.3849	10.286	9.1118	9.9788	9.6485	9.1908	9.4635	9.5036	10.0869	9.9975	9.9354	10.1941	9.3131	9.7547	9.5849	9.5012	8.8881	9.6078	9.7704	9.7811	10.1337	9.2829	9.0312	9.4973	9.2203	10.316	9.9621	9.8051	8.9435	9.7856	9.6788	9.793	9.3534	9.772	9.8979
"BSU09500"	10.2793	11.0082	9.4059	10.3238	9.9819	10.1144	10.431	10.9042	9.4589	9.7384	10.1331	9.9111	10.6654	10.7058	9.1366	9.64	9.5428	10.2804	10.0754	10.4126	10.1514	10.2287	10.5494	11.1209	10.6157	11.422	9.9979	10.6541	10.7549	11.2329	10.6278	10.9456	10.9266	10.5663	11.0518	11.5187	11.8826	11.2582	11.2295	10.7512	10.2678	9.587	9.8861	9.2618	9.8588	9.8336	10.6588	12.7631	11.9533	10.2317	12.3056	11.6835	10.5578	12.208	11.0015	10.9636	10.9639	11.1446	11.8756	11.8756	10.6158	8.9696	8.9696	11.5328	11.4005	11.4005	10.5607	10.1268	9.7056	10.8283	10.9659	9.6547	11.2031	9.9871	10.9401	10.0217	10.6017	10.3506	10.5845	10.7287	11.1722	10.9691	10.8672	10.6998	10.3497	9.8734	11.128	10.8236	10.6431	10.7913	10.9994	10.0451	10.0717	10.9508	10.6554	10.6201	10.75	9.7625	10.3362	10.6673	10.6175	10.4687	9.4362	10.8852	10.7342	10.971	11.3005	10.6162	11.1662	10.9595	10.2826	9.8916	10.6012	10.8251	11.0404	10.4537	10.5454	10.4373	10.8882	10.125	11.553	10.9466	10.9838	10.251	11.1686	11.1091	11.3107	10.9497	10.6082	9.8305
"BSU09510"	10.9619	11.8273	10.4796	10.7959	10.9924	10.8248	11.1663	11.7053	10.2779	10.836	10.87	11.0562	11.1487	11.793	10.2139	10.5736	10.5939	10.9159	10.4025	10.6432	10.9276	10.3744	11.0473	12.2835	11.6002	12.5393	10.4877	11.9904	11.2672	11.5272	12.0385	12.268	12.1978	11.8655	12.4509	12.8582	13.055	12.6141	11.7899	11.5287	10.9763	10.6339	11.2613	10.6414	10.9829	10.9584	11.729	13.4535	13.1874	11.4578	13.2766	12.5048	11.8017	12.9776	12.0343	11.8513	11.8635	11.8643	12.7623	12.7623	11.229	9.5394	9.5394	12.1809	12.2356	12.2356	11.5949	10.9707	10.2957	11.6726	11.9686	10.6063	12.2221	11.1899	12.1465	11.1568	11.2705	11.1885	11.1082	11.6247	11.9792	11.783	11.6169	11.6662	10.7576	11.7684	11.6573	11.4794	11.4759	11.4516	11.6507	10.6806	10.5552	11.5801	11.1682	11.3002	11.3968	10.2656	11.1745	10.9219	10.7093	10.6667	11.2298	11.2509	11.5296	11.6092	11.9917	11.1219	11.7226	11.333	10.332	10.5913	11.1425	11.4346	11.701	12.5119	11.478	11.0134	11.3987	10.8787	12.1129	11.6829	11.5729	11.2593	12.0229	11.92	12.1667	11.6285	11.6088	10.7069
"BSU09530"	12.3399	8.4847	9.6206	10.5673	10.9408	10.5274	11.6705	8.6357	9.5282	10.4974	10.8545	10.7571	12.0317	8.7807	9.6672	10.8482	10.5997	10.8108	9.7881	10.3601	10.1653	10.1998	10.3376	7.6969	7.8024	7.3574	7.506	8.1672	9.423	9.2295	9.4212	9.1688	9.0293	8.8835	8.9816	9.1064	9.0548	8.7361	10.7597	9.2219	8.8641	8.8882	9.2281	8.7909	9.3317	9.4686	10.5081	14.8984	8.2738	10.7251	14.7973	7.8458	12.1258	14.3132	7.8142	9.6831	9.6689	9.5459	7.6667	7.6667	8.5524	9.1326	9.1326	9.022	7.6055	7.6055	8.8642	8.5162	10.1071	8.9175	7.3862	11.2071	7.4408	9.3921	7.3277	8.4876	10.8685	10.7871	11.1629	10.6684	10.9875	10.8879	10.4245	10.1122	9.0739	11.7774	11.88	12.2238	11.5443	10.8077	11.3039	10.4136	10.1121	10.2882	11.6016	11.6459	12.2227	10.6151	10.9963	10.6956	10.7479	10.376	10.2936	9.7606	11.6095	11.6449	12.2161	11.3242	11.5758	10.5238	9.5949	10.7363	11.1896	11.6442	11.825	12.4801	11.2623	10.5975	10.7372	10.0425	11.0479	10.5129	10.5488	10.3744	11.0765	10.7016	10.6041	10.1578	9.9399	9.5696
"BSU09540"	13.9819	11.7737	12.4033	12.6002	12.2464	11.7019	13.2794	12.1242	12.2285	12.5103	11.7807	11.5886	13.7204	11.9105	12.0852	10.5539	11.3176	11.9045	10.1471	10.5288	10.6921	10.3249	10.9124	12.7852	12.622	13.0874	11.1258	12.6136	12.0038	12.4215	13.9534	14.056	13.4504	13.06	13.2126	13.4076	13.665	13.1954	12.6947	12.264	12.0345	11.3083	12.0216	11.5922	11.926	11.6737	12.5422	12.7919	14.4457	12.3017	12.4329	13.6043	12.1441	11.8882	13.4082	12.5728	12.7128	12.6799	12.993	12.993	12.4751	11.513	11.513	13.6088	13.6017	13.6017	12.9613	12.0306	12.4624	13.028	13.4471	14.356	13.1629	13.832	13.5085	14.2009	12.2277	12.3056	12.7153	12.7961	13.1152	13.0167	12.7767	12.7396	12.1977	12.3176	12.6767	12.9176	12.7191	12.5672	12.3729	11.7718	11.6017	13.0286	12.3565	12.4825	13.1384	11.9456	12.7932	12.3923	12.3034	11.6214	11.5989	12.0617	12.3256	12.1968	12.3766	11.7265	12.0518	12.4282	11.9019	11.384	11.9611	11.8442	12.0744	12.3754	11.9089	11.8255	12.2109	11.6327	12.8838	12.3506	11.8407	11.6288	12.6681	12.4135	13.0963	12.3241	12.5632	11.9785
"BSU09550"	12.4129	13.8649	13.5656	13.4572	13.5533	12.9744	12.6708	13.9003	13.3704	13.4584	13.138	13.1045	12.5669	14.0354	13.0811	12.7133	12.7398	13.4217	12.2629	12.4452	12.7637	12.063	12.9438	13.619	13.3324	13.6686	11.6807	13.844	12.6822	13.0057	14.2163	13.9523	13.9812	13.7343	13.7419	13.6611	13.9018	13.6348	12.1694	12.3717	12.3323	12.5389	13.369	13.0304	13.6059	13.5773	13.7392	14.9753	11.4786	13.5725	14.5616	11.1474	13.6911	14.4879	10.8381	13.6013	13.5607	13.748	13.2289	13.2289	13.3483	12.2146	12.2146	13.294	13.7689	13.7689	13.7093	13.2105	13.0385	13.8562	13.2204	14.3075	13.3726	14.8849	13.5242	14.9255	13.577	13.7094	13.3932	13.8343	14.3218	14.0681	13.9769	13.8937	12.7579	13.6586	14.3218	13.9008	13.8582	13.6089	13.7718	13.1061	12.8529	13.8561	13.8567	13.9468	14.0445	12.9622	13.7019	13.3072	13.0645	12.8255	13.189	13.3453	13.7156	13.7498	14.1858	13.4246	13.7395	13.5915	13.1082	13.038	13.6086	13.7114	13.9739	14.1669	13.5666	13.1885	13.6562	13.293	14.3182	13.5513	13.6268	12.923	14.0605	14.0848	14.4076	13.7852	14.017	13.7647
"BSU09570"	10.8424	12.4529	11.653	11.377	11.6283	10.8477	11.0074	12.5024	11.7391	11.8583	11.0211	10.9179	10.992	12.6767	11.3889	11.149	10.962	11.2228	9.8248	10.1845	10.2779	9.8934	10.3084	9.9107	9.9795	10.3355	8.5934	10.2149	10.9415	11.1497	12.5958	12.5122	12.3743	12.0278	11.8124	11.8525	11.8108	11.6497	9.3017	9.5706	9.2781	9.7847	10.5465	10.2197	10.4652	10.4557	12.8173	12.3873	11.9751	12.5532	12.3168	11.2179	12.1168	11.8385	10.7374	12.2485	12.2227	12.3215	10.9459	10.9459	11.6777	9.917	9.917	11.3929	11.002	11.002	11.7494	11.5228	10.597	12.0612	10.8065	10.9596	11.0011	11.3937	11.2643	11.4628	11.9403	12.0183	11.7125	12.2976	12.6511	12.5608	12.4385	12.5569	11.3564	12.2938	12.5444	12.0697	12.1429	12.0867	12.1632	11.3928	11.379	12.1041	12.0404	12.0621	11.9346	10.8258	11.7796	11.4663	11.4478	11.2746	11.8739	11.6378	12.1722	12.3749	12.7506	11.7675	12.2439	12.1692	11.3779	11.5193	12.0946	12.1653	12.3106	13.0385	11.9721	11.7237	12.1697	11.8239	12.7827	12.3785	11.9885	11.7296	12.5543	12.4221	12.8198	12.6902	12.3836	11.934
"BSU09590"	13.4669	14.5067	14.6728	14.9766	15.5606	15.3256	12.6194	14.4479	14.6381	14.8582	15.3551	15.5602	12.9283	14.49	14.3806	15.0833	15.0576	15.7878	14.8152	15.241	15.4435	14.6898	15.5222	11.4436	11.3927	11.5306	9.7272	11.5506	12.6482	13.0256	14.5091	14.26	14.1135	13.8036	13.7416	13.7825	13.789	13.5363	14.0502	14.0175	14.1098	14.1094	14.8258	14.644	14.9166	14.788	13.7116	14.5102	14.9172	13.4977	14.1597	14.2626	13.3544	13.8554	13.7173	13.6647	13.583	13.7765	11.8509	11.8509	12.6712	12.6916	12.6916	13.0519	12.3843	12.3843	12.9125	12.5671	13.8197	13.0887	11.8654	11.6731	12.0736	11.8884	12.7538	11.8144	13.8817	13.7979	13.6703	13.8834	14.2769	14.1246	14.011	14.0279	12.7479	14.1578	14.3157	13.9886	13.9303	13.6417	13.9595	13.0403	12.9432	13.6554	14.1732	14.103	14.1172	12.9722	13.6722	13.6009	12.9084	13.1414	13.3899	13.1285	13.8899	13.9481	14.1971	13.3403	13.7787	13.594	13.059	13.0646	13.6957	13.6997	13.8358	14.2209	13.3874	12.983	13.5791	13.2659	14.3407	13.789	13.5358	12.9907	13.9257	13.8804	14.1896	13.7679	13.8586	13.8049
"BSU09600"	9.736	11.041	11.1183	10.6964	9.9272	9.6303	9.8082	11.0891	10.7881	10.5173	9.6729	9.4541	9.8444	10.9641	10.6658	8.997	9.168	9.644	9.2072	10.0329	9.7847	10.1254	9.7477	9.6524	9.5934	10.1402	8.7858	9.9143	10.6105	10.8169	10.9584	10.9124	10.8204	10.5055	10.4705	10.5309	10.6226	10.3854	9.5924	9.1191	9.0439	9.434	9.9208	9.338	9.8545	10.013	10.4436	10.8912	10.0602	10.3208	10.4868	9.6324	10.2638	10.4443	9.1437	10.6425	10.4302	10.646	10.2312	10.2312	10.6813	8.8271	8.8271	10.017	10.4065	10.4065	10.7934	10.1526	9.946	11.0402	9.4868	9.6845	10.0679	9.697	10.1772	9.6436	10.3815	10.5594	10.2363	10.868	10.9894	10.8674	10.8778	10.8888	9.8276	10.2719	11.1434	10.7753	10.7206	10.62	10.67	9.7539	9.6192	10.9138	10.946	10.9588	11.0133	9.8669	10.6169	10.135	10.1913	9.8416	9.7525	10.5204	10.5139	10.3512	11.1459	10.2229	10.644	10.0476	9.9445	9.4341	10.2606	10.3743	10.577	10.4997	10.2345	10.1316	10.4417	10.1841	10.963	10.3146	10.4661	9.6077	10.6677	10.6898	11.1161	10.714	10.6155	10.1867
"BSU09610"	10.33	11.6105	11.5245	11.048	10.5086	10.1398	10.4517	11.6131	11.2805	11.0395	9.8698	9.9228	10.2327	11.4826	11.1264	9.4608	9.666	10.3253	9.5288	9.9672	10.1134	9.9388	9.958	10.525	10.3423	11.0358	9.1796	10.5486	10.383	10.6879	11.6197	11.5421	11.618	11.2487	11.2492	11.2266	11.3082	11.0815	10.0643	9.919	9.7808	10.1735	10.9741	10.5351	10.8076	10.7358	11.1392	11.2929	10.922	10.8817	10.9537	10.2888	10.7593	10.4412	9.8263	11.0843	11.1216	11.1721	10.274	10.274	10.9	9.4662	9.4662	10.4566	11.013	11.013	11.2779	10.5618	10.4064	11.7045	10.2809	10.4078	10.5099	10.0946	10.6869	10.2929	10.9859	11.0689	10.845	11.2909	11.533	11.3056	11.1913	11.3095	10.471	11.4732	11.4889	11.1288	11.0799	10.9914	11.3014	10.2995	10.172	11.2385	11.1645	11.3514	11.2871	10.413	10.9812	10.7182	10.7741	10.2359	10.9616	10.7236	11.0733	11.0196	11.5241	10.4556	10.941	11.0737	10.4142	10.0363	10.6179	10.6616	10.8563	11.5938	10.7161	10.5848	10.9096	10.6555	11.4732	10.8484	10.7106	10.3255	11.2092	11.0513	11.4406	11.2567	11.1299	10.6045
"BSU09620"	10.8088	11.9894	12.0757	11.4807	11.5763	11.4246	10.7713	12.0487	11.6394	11.6319	10.9664	11.4904	10.8238	11.9706	11.6419	10.3027	10.5019	11.656	10.8614	11.175	11.4696	10.935	11.5353	10.7658	10.6208	11.3704	9.2708	10.9488	10.4066	10.8002	12.2693	11.9682	11.946	11.6913	11.6401	11.7793	11.8495	11.5261	10.4514	10.3337	10.4175	10.7162	11.6142	11.2592	11.5739	11.6563	11.5647	11.6152	11.3057	11.3005	11.2283	10.376	11.1837	10.8092	10.0668	11.3329	11.4514	11.487	10.7101	10.7101	11.1687	9.5301	9.5301	10.7173	11.2679	11.2679	11.6812	10.8617	10.5639	11.8629	10.5976	10.741	10.6964	10.5638	11.1828	10.7381	11.3399	11.4258	11.1338	11.6705	11.9983	11.7873	11.7397	11.6593	10.8072	11.8616	11.831	11.6047	11.6599	11.5314	11.579	10.8415	10.6938	11.5972	11.9021	11.8242	11.9443	10.7728	11.6117	11.1177	10.9107	10.6285	11.1226	11.065	11.474	11.447	11.8155	10.7952	11.5084	11.3399	10.6885	10.5308	11.1128	11.1857	11.3923	11.9985	11.1822	10.9284	11.3376	10.9699	11.896	11.3463	10.9741	10.8824	11.6928	11.6052	12.1217	11.4891	11.5996	11.1843
"BSU09630"	9.0609	13.0101	13.1573	12.6165	13.4203	13.8557	9.2221	13.1032	13.0285	12.674	14.1454	14.4013	9.8927	13.2162	13.8006	13.3873	14.0663	14.4555	13.199	13.7882	13.8082	13.0607	13.8152	8.5787	8.4335	8.58	7.8815	8.4966	9.9535	10.2373	11.7299	11.4183	11.4056	10.9504	10.9931	11.511	10.779	10.6387	13.0485	12.0017	12.6666	12.3264	12.5888	12.329	12.6098	11.8922	10.5334	12.8484	9.2284	10.4946	12.6057	8.7764	11.3224	11.9276	8.6631	10.0015	10.0331	9.9034	9.1845	9.1845	9.6151	8.6226	8.6226	7.871	9.0385	9.0385	9.5647	8.6449	9.5507	9.6117	8.5856	8.9043	8.5881	9.1611	8.5422	8.9984	11.3007	12.1115	11.2245	11.8683	11.2333	11.0768	11.0618	10.3343	9.9765	11.4976	11.8977	11.8929	11.6947	12.1882	11.2565	10.1202	10.1136	10.466	12.115	12.2803	12.2115	10.5533	12.3386	12.0211	11.3515	10.863	9.5249	9.9573	12.0895	12.1083	11.8563	11.1421	11.4658	12.0183	10.1634	11.6222	12.0408	12.0057	11.891	11.3046	12.0081	11.054	11.6142	10.4798	12.725	12.7766	12.0396	12.0324	11.8204	11.8118	11.9224	11.3057	11.324	11.0754
"BSU09640"	9.3442	9.3145	9.0475	9.1573	9.6976	10.0431	9.4531	9.5821	9.0006	9.166	9.5291	10.2962	9.3689	9.4709	8.743	8.7407	8.9818	10.2607	10.2676	10.7814	10.9449	10.5374	10.7961	11.2798	10.9472	11.5084	9.8403	11.1291	9.4526	9.6947	9.4002	9.2878	9.3561	9.1857	9.4782	9.9464	10.2407	9.8791	10.5211	9.9285	9.6221	9.3089	9.6806	9.1055	9.4843	9.4457	9.3193	10.4655	9.5724	9.0736	10.0499	8.9508	9.4311	9.8107	8.7165	8.703	8.6647	8.8628	10.9563	10.9563	9.7487	8.7915	8.7915	10.7232	11.5392	11.5392	10.5129	9.5298	9.5096	10.7505	10.6866	10.7553	10.8488	11.6054	10.8986	11.458	9.2988	9.1671	8.9678	9.3231	9.3069	9.5351	9.2735	9.3824	8.7772	9.4561	9.6401	9.3413	9.4226	9.1862	9.145	8.5078	8.6632	9.3572	9.2096	9.4563	9.4258	8.553	9.1015	9.0045	8.9649	8.7921	8.9422	9.2616	9.7289	9.5523	9.9218	9.1652	9.657	9.5854	8.5821	8.9035	9.421	9.492	9.5622	10.179	9.6216	9.3371	9.4448	8.8661	10.3786	9.7031	9.5297	9.2653	10.2284	10.1743	10.5942	10.0008	9.745	8.7718
"BSU09650"	10.0081	10.8008	10.7641	10.9573	11.1029	11.0363	9.943	10.6358	10.8645	11.0548	10.9093	11.2276	10.0376	10.8017	10.7655	10.4081	10.61	11.2192	9.8696	10.3314	10.5724	10.2531	10.7793	9.9913	9.7851	10.4741	8.7344	10.2827	9.9524	10.1481	11.4715	11.1892	10.913	10.981	10.9929	11.0332	11.1358	11.0228	11.1033	10.3944	10.3714	10.1602	10.9772	10.6556	10.9878	11.2282	10.3254	10.9473	10.9284	10.1677	10.6222	10.2904	10.1107	10.4176	9.5433	10.717	10.7083	10.7618	10.4833	10.4833	11.0571	10.7524	10.7524	10.7194	10.7834	10.7834	11.3249	10.9124	11.9348	11.4726	10.3949	10.938	10.4466	10.9024	10.8457	10.7256	10.721	10.6363	10.5949	10.8441	11.1706	11.0945	10.8774	11.0645	10.3619	10.6047	10.8894	10.8003	10.6621	10.3744	10.666	9.9666	9.9809	10.8475	10.6944	10.8398	11.1901	9.8038	10.5901	10.2922	10.3741	10.0761	10.2075	10.5823	10.6326	10.5714	10.979	10.1254	10.673	10.2748	10.2351	9.7729	10.2902	10.5	10.7361	11.0231	10.3146	10.1865	10.6159	10.1815	11.0617	10.6114	10.3697	10.1371	10.8283	10.9084	11.0948	10.6014	10.7302	10.6488
